等级	每次经验达到当前经验上限,等级+1.	升级后可以有一次选择提升属性和技能的机会,4个选项
评分	total score	
力量	2级属性,公式将2级属性转化为2个1级属性值	每点增加1基础攻击力,5%经验暴击几率
灵巧	2级属性,公式将2级属性转化为2个1级属性值	每点增加1防御力,5%防御暴击几率
耐力	2级属性,公式将2级属性转化为2个1级属性值	每点增加5HP,5%血瓶暴击几率
幸运	2级属性,公式将2级属性转化为2个1级属性值	每点增加5HP,5%金钱暴击几率
基础攻击力	连骷髅图标时的初始攻击力	
武器攻击力	每连1个武器图标的攻击力	
当前生命值		
生命值上限		
当前防御值		
防御值上限		
防御减少伤害百分比	防御值可以抵挡伤害值的百分比	
无视对方防御百分比	攻击时无视对方20%的防御值	
攻击时是否释放毒药buff	攻击时会使目标中毒	
毒药buff伤害	中毒的骷髅每回合受到多少毒药伤害	
反弹伤害值	每回合每个骷髅发生过攻击的骷髅必然损失的HP值	
每连1个防御图标获得当前防御值	消除1个防御图标后获得的当前防御值	
每连1个血瓶图标获得当前生命值	消除1个血瓶图标后获得的当前生命值	
当前金钱值	可累计	
金钱升级上限	当前值大于等于上限时,可以购买1次新装备(旧装备提升属性)	当前值=当前值-上限值
每连1个金钱图标获得金钱值	消除1个金钱图标后获得的当前金钱值	
金钱暴击基础值	暴击后额外增加的经验值百分比	
金钱暴击几率	暴击率百分比	
金钱暴击加成值	暴击后提升暴击基础值的百分比	
当前经验值	可累计	
	当前值大于等于上限时,等级+1,同时可以学习技能2选1,提升属性2选1.	当前值=当前值-上限值
每连1个经验图标获得经验值	消除1个骷髅图标后获得的当前经验值	在骷髅处应该有放大该值的倍数,比如特殊怪消除后有4倍经验
经验暴击基础值	暴击后额外增加的经验值百分比	
经验暴击几率	暴击率百分比	
经验暴击加成值	暴击后提升暴击基础值的百分比	
当前强化值	可累计	
强化升级上限	当前值大于等于上限时,可以进行1次强化	当前值=当前值-上限值
每连1个防御图标获得强化值	消除1个防御图标后获得的当前强化值	
强化暴击基础值	暴击后额外增加的经验值百分比	
强化暴击几率	暴击率百分比	
强化暴击加成值	暴击后提升暴击基础值的百分比	
		
总攻击力公式	(基础攻击力+武器攻击力*连击武器个数)*伤害倍数	伤害倍数为以后做技能用
计算当前防御值减少公式	当前防御值=当前防御值-min(总攻击力*(防御减少伤害百分比*(1-攻击者无视防御百分比)),当前防御值)	
计算当前生命值减少公式	当前生命值=当前生命值-总攻击力-max(总攻击力*(防御减少伤害百分比*(1-攻击者无视防御百分比))-当前防御值,0)	
		
经验,金钱,强化,生命,防御值计算		
	连接3个以上才可尝试消除	
暴击几率计算	从第4个单位开始有暴击,只连3个和前3个无暴击	武器与骷髅连接时,排序时将武器提前.连3个武器1个骷髅时,这个骷髅可以暴击
	从暴击几率百分比计算	
未暴击时获得值计算	x=基础值	
暴击时获得值计算	x=基础值*(暴击基础值*暴击加成值)	
		
升级功能	4个悬想选2.选项不重复	
	有2个空技能格时,可以有2个技能选项,两个属性选项	
	有1个空技能格时,有1个完全随机的技能选项,另一个如果随机到现有技能(不需要新空格)则显示技能,否则该位置重新随机一种属性	
	没有空技能格时,随不到已有技能则用属性替代.如果已有技能等级满级,则只会随机属性	
		
强化功能	每次强化值达到上限就可以从3个装备中选择1个进行一次装备强化	dr3选1是因为ui需要有当前状态对比占用了1个位置
	装备强化给装备增加属性	
	属性为4选1	
	已有属性有几率出现降低	
		
金钱购买功能	每次金钱达到上限时,可以购买装备	
	金钱购买与强化功能逻辑相同,但购买后必然更换装备图标	

